                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5531,                 4.6216,                 3.9923,                  0.002,                 0.1434,                0.00162,                0.00043,                 3.0942,                 4.6312,                 3.6223,             0.00020769,             0.00020769,             0.00020769
                      2,                  2.885,                 4.1938,                 3.2018,                0.00444,                0.30867,                0.00688,                0.00208,                 2.6921,                 4.4437,                 3.0856,             0.00039955,             0.00039955,             0.00039955
                      3,                  2.554,                  3.918,                 2.7792,                0.00551,                0.44724,                0.01455,                0.00417,                 2.5524,                 3.8519,                 2.8978,              0.0005749,              0.0005749,              0.0005749
                      4,                 2.3805,                 3.6798,                 2.6257,                0.35487,                0.03268,                0.02965,                0.00884,                 2.4446,                 3.6555,                  2.814,             0.00055075,             0.00055075,             0.00055075
                      5,                 2.2928,                 3.5211,                 2.5281,                0.20528,                 0.1153,                0.04586,                0.01581,                 2.3382,                 3.5154,                 2.6774,             0.00055075,             0.00055075,             0.00055075
                      6,                 2.2467,                 3.3863,                 2.4686,                0.12579,                0.14282,                0.06485,                0.02223,                 2.3105,                 3.3374,                 2.6284,               0.000526,               0.000526,               0.000526
                      7,                 2.1953,                 3.3102,                 2.4295,                0.16741,                0.14951,                0.07053,                0.02571,                 2.2504,                 3.2575,                 2.5778,             0.00050125,             0.00050125,             0.00050125
                      8,                 2.1721,                 3.2124,                 2.4003,                0.17121,                0.15063,                0.08877,                 0.0341,                 2.2784,                 3.1686,                 2.5875,              0.0004765,              0.0004765,              0.0004765
                      9,                 2.1398,                 3.1356,                 2.3692,                0.23268,                0.17931,                0.11468,                 0.0431,                 2.2227,                 3.0693,                 2.5327,             0.00045175,             0.00045175,             0.00045175
                     10,                  2.099,                 3.0567,                 2.3367,                0.22676,                0.20777,                 0.1331,                0.05301,                 2.1845,                 2.9266,                 2.5052,               0.000427,               0.000427,               0.000427
                     11,                 2.0903,                  3.001,                 2.3165,                0.25714,                0.20185,                0.15456,                0.06223,                 2.1783,                 2.8883,                 2.4865,             0.00040225,             0.00040225,             0.00040225
                     12,                 2.0655,                 2.9287,                 2.2978,                0.29809,                0.23597,                0.17373,                0.06948,                 2.1573,                 2.8084,                 2.4783,              0.0003775,              0.0003775,              0.0003775
                     13,                  2.049,                  2.892,                 2.2786,                0.29957,                0.24626,                0.19091,                0.07863,                 2.1435,                 2.7588,                 2.4703,             0.00035275,             0.00035275,             0.00035275
                     14,                 2.0263,                 2.8444,                 2.2577,                0.30709,                 0.2639,                0.20182,                0.08376,                 2.1265,                 2.7205,                 2.4652,               0.000328,               0.000328,               0.000328
                     15,                 2.0121,                 2.7859,                 2.2538,                0.31122,                0.27118,                0.21973,                0.09141,                 2.1196,                 2.6807,                 2.4483,             0.00030325,             0.00030325,             0.00030325
                     16,                 2.0796,                 2.6988,                  2.355,                0.34068,                0.25631,                0.22319,                0.09426,                 2.1054,                 2.6498,                 2.4189,              0.0002785,              0.0002785,              0.0002785
                     17,                 2.0567,                 2.6113,                 2.3391,                0.34673,                0.30873,                0.26039,                0.11152,                 2.0833,                 2.5476,                 2.4048,             0.00025375,             0.00025375,             0.00025375
                     18,                  2.046,                 2.5466,                 2.3239,                 0.3691,                0.32254,                0.28952,                0.12622,                 2.0601,                 2.4579,                 2.3748,               0.000229,               0.000229,               0.000229
                     19,                 2.0319,                 2.4986,                 2.3036,                0.39866,                0.29729,                0.27019,                 0.1152,                 2.0852,                 2.5095,                 2.3906,             0.00020425,             0.00020425,             0.00020425
                     20,                 2.0126,                  2.444,                 2.2867,                0.42564,                0.33149,                0.30222,                0.12881,                 2.0791,                 2.4282,                 2.3825,              0.0001795,              0.0001795,              0.0001795
                     21,                 1.9974,                 2.3978,                 2.2732,                0.40991,                0.35042,                0.31778,                0.13771,                 2.0505,                  2.382,                  2.357,             0.00015475,             0.00015475,             0.00015475
                     22,                 1.9856,                 2.3505,                 2.2659,                0.42307,                 0.3486,                0.32851,                0.14572,                 2.0363,                 2.3154,                 2.3444,                0.00013,                0.00013,                0.00013
                     23,                 1.9762,                 2.3175,                 2.2538,                 0.4441,                0.37061,                0.34401,                0.15029,                  2.029,                 2.2829,                  2.348,             0.00010525,             0.00010525,             0.00010525
                     24,                 1.9604,                 2.2787,                 2.2432,                0.47407,                0.36218,                0.36314,                0.15982,                 2.0202,                 2.2589,                 2.3359,               8.05e-05,               8.05e-05,               8.05e-05
                     25,                 1.9468,                 2.2434,                 2.2247,                0.45382,                0.38077,                0.36721,                0.16282,                 2.0173,                 2.2399,                 2.3313,              5.575e-05,              5.575e-05,              5.575e-05
